amount_requested,aadhaar_link_verified,multiple_claims,suspicious_ip_activity,category,scheme_name,category_type,aadhaar_number,income,is_fraud
7595,0,0,0,OBC,Post Matric Scholarship,Farmer,834777944292,77948,1
5790,0,1,1,SC,Post Matric Scholarship,Farmer,471974888500,176799,0
760,0,0,0,SC,Other Scheme,Worker,117788638887,131408,1
8783,0,0,0,VJNT,Other Scheme,Worker,206697676730,70696,0
8204,1,0,0,ST,Other Scheme,Student,722916810276,71770,1
4296,1,1,0,SC,Other Scheme,Worker,314642969550,172195,0
9096,1,0,0,ST,Post Matric Scholarship,Farmer,537774518288,195284,1
5846,1,1,0,VJNT,Other Scheme,Pensioner,778193509445,80644,1
827,1,0,1,SC,Pre Matric Scholarship,Farmer,670788978245,93672,0
9354,0,1,1,VJNT,Other Scheme,Student,936016461279,21694,0
7452,1,0,1,SC,Pre Matric Scholarship,Farmer,395274419252,60559,0
7088,1,0,0,VJNT,Post Matric Scholarship,Worker,201759744000,74518,1
295,1,1,1,ST,Other Scheme,Worker,466186493796,115198,0
6330,0,0,1,OBC,Post Matric Scholarship,Pensioner,677403842535,196899,0
7315,1,0,1,SC,Pre Matric Scholarship,Farmer,474497820010,123726,0
9945,1,1,1,ST,Other Scheme,Farmer,757462140808,154704,1
1739,1,0,1,OBC,Pre Matric Scholarship,Worker,267855021656,77970,0
8365,0,1,1,SC,Pre Matric Scholarship,Farmer,791208720774,87570,0
6726,1,1,0,VJNT,Post Matric Scholarship,Worker,994071720793,128686,0
3498,0,1,1,VJNT,Other Scheme,Student,430925028647,6708,1
7304,1,0,1,SC,Pre Matric Scholarship,Worker,713025714868,47339,1
4348,1,1,0,OBC,Post Matric Scholarship,Pensioner,782208907507,71552,1
2783,1,1,1,VJNT,Post Matric Scholarship,Farmer,271101271209,50190,0
3819,0,1,0,ST,Post Matric Scholarship,Pensioner,359475415605,144232,0
4832,1,1,0,ST,Other Scheme,Pensioner,774796109139,120795,1
6692,1,0,1,OBC,Other Scheme,Worker,819813434905,190081,0
2727,0,0,1,General,Other Scheme,Pensioner,627155371066,68500,0
223,0,0,0,VJNT,Post Matric Scholarship,Farmer,528691846550,124907,1
6466,1,1,0,ST,Post Matric Scholarship,Student,380234352836,164845,0
573,0,1,0,General,Post Matric Scholarship,Farmer,166311422989,197672,0
8744,0,1,0,General,Other Scheme,Student,355206883712,55696,0
9061,1,0,0,SC,Pre Matric Scholarship,Pensioner,859252357393,45497,1
7521,0,1,1,OBC,Pre Matric Scholarship,Pensioner,931783188063,137588,0
7685,1,1,0,General,Pre Matric Scholarship,Student,304678876749,61331,0
4557,1,0,0,ST,Post Matric Scholarship,Worker,552789882461,123803,0
6628,1,1,1,SC,Post Matric Scholarship,Worker,450925252799,21916,1
7292,1,0,0,SC,Pre Matric Scholarship,Student,643980409874,2274,0
1194,1,0,1,SC,Other Scheme,Pensioner,420252167080,194983,1
2302,1,0,1,General,Other Scheme,Student,596378683368,119355,0
6515,1,0,0,OBC,Other Scheme,Farmer,309525795939,35769,1
8558,1,1,1,VJNT,Pre Matric Scholarship,Pensioner,168858882446,190544,1
7752,1,1,1,OBC,Other Scheme,Student,790130329050,189406,0
9511,0,1,1,VJNT,Post Matric Scholarship,Student,435179183497,156778,0
6138,1,1,0,ST,Pre Matric Scholarship,Worker,568849123529,116423,1
518,0,0,1,ST,Other Scheme,Student,448503122441,82280,1
2447,1,1,1,SC,Pre Matric Scholarship,Student,186959033442,181477,0
3431,0,1,0,SC,Pre Matric Scholarship,Farmer,561156444773,141440,1
9421,1,0,1,General,Other Scheme,Farmer,252281184895,141521,0
5826,1,1,0,VJNT,Post Matric Scholarship,Student,753930023068,170450,1
6884,1,1,0,General,Other Scheme,Student,351389856270,138741,0
7975,0,0,1,OBC,Pre Matric Scholarship,Farmer,154861152196,133837,1
1595,1,1,0,VJNT,Pre Matric Scholarship,Farmer,400963474846,165185,1
9655,1,0,0,SC,Other Scheme,Pensioner,397193861324,142032,1
8701,0,0,1,General,Other Scheme,Worker,661480560962,11045,0
4811,1,0,0,SC,Post Matric Scholarship,Farmer,567890964778,14129,0
928,0,1,1,OBC,Post Matric Scholarship,Pensioner,113707993112,62835,1
4524,0,1,1,OBC,Post Matric Scholarship,Pensioner,887854364310,124366,0
5129,0,0,0,SC,Other Scheme,Student,900262007265,183877,1
1180,1,1,1,SC,Post Matric Scholarship,Farmer,101711535252,14025,0
2700,1,1,0,ST,Post Matric Scholarship,Farmer,572491501333,65363,0
7893,1,0,1,General,Post Matric Scholarship,Pensioner,684971691856,4789,1
4387,1,1,1,ST,Post Matric Scholarship,Worker,132672416298,14763,0
1230,1,1,0,VJNT,Post Matric Scholarship,Worker,511335842995,45732,1
1263,0,1,1,VJNT,Pre Matric Scholarship,Worker,359628651224,19044,1
6342,0,1,0,VJNT,Other Scheme,Pensioner,432214086535,28001,0
3133,0,1,1,General,Pre Matric Scholarship,Student,134786986794,160732,1
3059,0,0,0,VJNT,Pre Matric Scholarship,Farmer,561148284017,199019,0
4123,1,1,1,OBC,Other Scheme,Farmer,820955898900,191039,1
2822,1,0,0,SC,Post Matric Scholarship,Student,906783939296,107566,1
4164,1,0,1,General,Pre Matric Scholarship,Pensioner,976394516760,73537,0
1267,0,1,1,OBC,Other Scheme,Farmer,122007044045,168909,0
2023,0,0,1,VJNT,Pre Matric Scholarship,Worker,268298643426,134399,0
8831,1,1,0,OBC,Other Scheme,Worker,129557408452,185085,1
2884,1,1,1,General,Post Matric Scholarship,Farmer,104314106651,113452,1
8902,0,0,0,SC,Pre Matric Scholarship,Student,671744903893,109467,1
4460,1,1,1,VJNT,Post Matric Scholarship,Farmer,699361116897,34109,1
4992,0,1,0,SC,Pre Matric Scholarship,Pensioner,963587528104,179347,1
2177,1,0,1,General,Pre Matric Scholarship,Student,962660060631,130225,0
9570,1,0,0,OBC,Pre Matric Scholarship,Student,554515699101,11351,0
4732,1,1,0,SC,Other Scheme,Pensioner,781726555355,134791,0
583,0,0,0,VJNT,Post Matric Scholarship,Student,547346701932,195261,1
6213,1,0,0,ST,Other Scheme,Pensioner,935062864948,126105,0
7818,0,1,1,OBC,Pre Matric Scholarship,Student,132400748121,119816,1
5157,1,0,1,OBC,Pre Matric Scholarship,Farmer,802527350392,186283,1
9150,1,0,0,ST,Other Scheme,Student,594946793967,53640,1
8217,1,1,1,OBC,Pre Matric Scholarship,Farmer,781609352328,29432,0
2521,1,1,0,SC,Other Scheme,Worker,721823343318,130561,0
1470,1,1,0,VJNT,Pre Matric Scholarship,Student,801399019275,188792,0
3089,0,1,1,VJNT,Other Scheme,Student,481058139575,113125,1
1107,0,1,0,SC,Post Matric Scholarship,Pensioner,886593852761,67302,1
3089,0,0,1,OBC,Pre Matric Scholarship,Student,230330585252,58813,0
8092,1,0,1,OBC,Other Scheme,Farmer,964053081850,177191,1
831,1,0,0,General,Post Matric Scholarship,Farmer,250750510283,75566,1
8292,0,1,0,OBC,Other Scheme,Student,756866743389,115958,0
6924,0,1,0,VJNT,Pre Matric Scholarship,Student,515200768458,44305,1
6063,0,0,0,VJNT,Pre Matric Scholarship,Student,609288298322,102589,1
5724,1,1,0,OBC,Post Matric Scholarship,Farmer,939686657596,10096,1
3805,0,0,0,VJNT,Post Matric Scholarship,Worker,906280535884,51268,0
9963,1,0,1,General,Post Matric Scholarship,Farmer,323324409772,180208,0
8549,0,0,1,VJNT,Post Matric Scholarship,Farmer,552094257071,140810,0
6910,1,1,1,OBC,Post Matric Scholarship,Pensioner,634767641944,73406,0
3524,1,0,0,OBC,Post Matric Scholarship,Farmer,564679117793,63758,1
7668,0,0,1,OBC,Other Scheme,Farmer,465761800073,65686,0
5981,1,1,1,ST,Pre Matric Scholarship,Pensioner,947993408096,81665,0
6535,1,1,1,VJNT,Pre Matric Scholarship,Farmer,337843779187,152773,1
6262,1,0,0,SC,Other Scheme,Worker,809568999992,5351,0
6850,0,0,0,General,Post Matric Scholarship,Farmer,913277212872,91368,1
1146,0,0,1,VJNT,Pre Matric Scholarship,Student,572584250319,159009,1
7937,1,1,0,SC,Pre Matric Scholarship,Farmer,146318605834,60614,0
9782,1,0,0,General,Pre Matric Scholarship,Pensioner,959533659103,91381,0
6167,0,1,0,SC,Other Scheme,Farmer,482935674799,47301,0
2257,1,0,0,OBC,Pre Matric Scholarship,Student,794605230807,107149,1
261,0,0,0,OBC,Pre Matric Scholarship,Worker,651339767004,192110,1
669,0,0,0,SC,Other Scheme,Farmer,879648504266,29420,1
236,1,1,1,ST,Other Scheme,Pensioner,465447185675,116517,1
7366,1,0,0,General,Post Matric Scholarship,Worker,108836103188,113300,0
9192,1,0,0,General,Pre Matric Scholarship,Worker,292263619980,12428,0
8334,0,0,1,SC,Pre Matric Scholarship,Student,343987689798,167137,0
1833,0,1,0,OBC,Other Scheme,Student,417520818696,31094,1
829,0,0,0,SC,Post Matric Scholarship,Worker,318345043359,30946,0
3141,1,0,1,ST,Pre Matric Scholarship,Farmer,682581256485,139723,1
7167,1,1,1,SC,Other Scheme,Pensioner,106858975009,86046,0
3869,0,1,1,General,Post Matric Scholarship,Pensioner,633090440114,117448,0
2383,1,0,1,OBC,Post Matric Scholarship,Worker,842829055054,196936,0
8654,0,0,1,ST,Other Scheme,Pensioner,768634185818,8700,0
8095,1,1,0,General,Post Matric Scholarship,Pensioner,394761656491,14933,1
1415,1,1,0,OBC,Other Scheme,Farmer,656407915792,25860,0
2158,1,1,1,SC,Other Scheme,Farmer,178546099911,154771,0
2811,0,0,1,VJNT,Other Scheme,Student,268086419359,173104,1
8520,0,0,1,General,Other Scheme,Pensioner,454466153859,4988,0
7798,0,0,1,ST,Pre Matric Scholarship,Farmer,579000831778,113178,1
3336,1,1,1,ST,Post Matric Scholarship,Pensioner,504226188914,178386,0
2015,0,0,0,SC,Post Matric Scholarship,Student,995655992672,48080,1
4510,1,0,1,OBC,Other Scheme,Worker,726071208567,44791,0
7521,1,1,1,General,Other Scheme,Pensioner,217432965807,174131,0
6715,0,1,0,ST,Post Matric Scholarship,Student,913255528871,28630,1
9334,1,0,0,ST,Post Matric Scholarship,Student,450734701955,148594,1
920,1,1,1,ST,Post Matric Scholarship,Student,639511933715,24169,0
2346,1,0,1,General,Post Matric Scholarship,Worker,187345567565,33166,1
9286,0,1,1,OBC,Post Matric Scholarship,Student,954952744496,79197,0
9192,1,1,1,General,Post Matric Scholarship,Worker,285810011234,100172,1
5719,1,0,0,VJNT,Other Scheme,Farmer,970060668819,44939,0
3545,1,1,0,General,Pre Matric Scholarship,Worker,912672512922,143540,0
7654,1,0,1,SC,Post Matric Scholarship,Pensioner,241743894482,91051,0
6588,0,0,0,ST,Post Matric Scholarship,Worker,166271256163,198132,0
8836,0,1,1,ST,Post Matric Scholarship,Worker,304836054107,147249,0
3654,1,1,0,General,Other Scheme,Student,453106954380,108630,1
6614,1,1,1,General,Pre Matric Scholarship,Worker,627405556897,47756,0
2467,1,1,1,General,Post Matric Scholarship,Student,868794999591,93887,0
4058,0,1,0,ST,Other Scheme,Pensioner,672376037414,87835,0
9314,1,0,1,SC,Pre Matric Scholarship,Farmer,882312703402,159257,1
3820,1,0,1,OBC,Pre Matric Scholarship,Student,581734574849,92850,1
9898,0,0,1,SC,Pre Matric Scholarship,Worker,104663146328,98660,0
1821,0,1,0,SC,Pre Matric Scholarship,Student,790729489084,1838,1
1275,1,0,0,OBC,Pre Matric Scholarship,Pensioner,770386871733,179671,0
9243,0,0,0,SC,Post Matric Scholarship,Farmer,570255744777,58826,1
3640,0,0,1,General,Pre Matric Scholarship,Student,997205020591,135073,0
920,0,1,0,SC,Post Matric Scholarship,Farmer,708143486881,44173,0
5435,1,0,0,VJNT,Other Scheme,Student,169097959615,40286,0
8311,0,1,0,OBC,Pre Matric Scholarship,Worker,743917922514,92343,1
8906,1,0,1,SC,Pre Matric Scholarship,Worker,984017770041,25664,1
6137,1,1,0,OBC,Post Matric Scholarship,Worker,706113622349,38115,1
5852,0,0,1,OBC,Other Scheme,Pensioner,822566758379,124136,0
4662,0,1,0,ST,Other Scheme,Worker,302999213080,38204,0
6109,1,1,0,ST,Pre Matric Scholarship,Farmer,538400167097,48039,1
2528,1,0,0,General,Pre Matric Scholarship,Student,194489002536,139415,1
602,1,1,1,VJNT,Other Scheme,Pensioner,360116762388,182964,1
2941,0,1,0,SC,Pre Matric Scholarship,Pensioner,818810842590,59659,1
9298,0,0,1,VJNT,Pre Matric Scholarship,Pensioner,278685664783,171196,1
6246,1,0,0,OBC,Post Matric Scholarship,Pensioner,953390180857,30322,0
8941,1,1,0,SC,Post Matric Scholarship,Student,879501700290,95087,0
3752,0,0,0,SC,Post Matric Scholarship,Student,760225613751,14872,1
1042,1,1,0,ST,Post Matric Scholarship,Farmer,686077625730,150232,0
2281,1,1,1,General,Other Scheme,Farmer,329317813676,70881,1
2499,0,1,1,General,Post Matric Scholarship,Pensioner,241206041882,30488,0
5238,0,1,1,General,Other Scheme,Farmer,663297163303,24801,0
355,1,0,0,SC,Other Scheme,Farmer,604732329592,196724,0
6229,0,0,0,VJNT,Other Scheme,Worker,730340041311,65728,1
3692,1,0,1,SC,Post Matric Scholarship,Worker,876515285255,171909,0
9222,1,1,1,ST,Post Matric Scholarship,Pensioner,641660049777,139327,1
4169,0,0,1,VJNT,Pre Matric Scholarship,Worker,925819859876,25450,1
1911,0,0,0,General,Pre Matric Scholarship,Student,231754759034,42244,0
7715,0,0,0,VJNT,Other Scheme,Farmer,718408843179,92093,0
267,0,1,1,VJNT,Post Matric Scholarship,Farmer,466401731107,103311,1
5519,1,1,0,General,Pre Matric Scholarship,Student,167410157900,169523,0
5061,1,0,1,ST,Other Scheme,Worker,165989528802,104264,0
72,1,0,1,SC,Pre Matric Scholarship,Student,282556729112,24412,0
5027,1,0,1,SC,Post Matric Scholarship,Worker,439059528212,187878,0
6644,0,0,0,SC,Other Scheme,Worker,545981924192,130263,1
6862,0,0,1,ST,Pre Matric Scholarship,Pensioner,929300021825,146510,0
6659,0,1,1,VJNT,Post Matric Scholarship,Student,405442452879,196135,1
1377,0,0,1,General,Post Matric Scholarship,Student,714980126571,128658,0
8738,0,0,1,ST,Post Matric Scholarship,Pensioner,112150301494,166711,1
8610,0,0,1,SC,Other Scheme,Farmer,578733141272,20791,0
246,0,0,0,SC,Post Matric Scholarship,Farmer,303819381078,148808,1
5538,1,1,0,VJNT,Other Scheme,Pensioner,168081023087,103636,1
1964,1,1,0,ST,Other Scheme,Pensioner,162983830430,124181,1
2283,1,0,0,ST,Other Scheme,Pensioner,205768195694,140587,0
5864,1,1,0,ST,Pre Matric Scholarship,Worker,661950872912,16519,0
1858,1,0,1,General,Other Scheme,Pensioner,256608013993,65847,1
8364,0,1,0,VJNT,Other Scheme,Farmer,611399046835,58117,1
3996,1,0,0,SC,Other Scheme,Pensioner,809510275930,110545,1
896,0,1,0,OBC,Other Scheme,Pensioner,327267031771,125815,1
8112,1,1,0,SC,Pre Matric Scholarship,Student,233384231424,122105,1
9381,0,1,0,VJNT,Other Scheme,Farmer,877662339133,187160,0
5687,1,1,0,OBC,Other Scheme,Farmer,136936842642,13841,0
3271,1,0,0,SC,Pre Matric Scholarship,Farmer,872059834885,96900,0
8510,1,1,0,General,Post Matric Scholarship,Farmer,341189916241,142470,0
9534,0,0,1,ST,Other Scheme,Pensioner,778970613757,103650,1
7357,1,0,1,ST,Post Matric Scholarship,Student,864210422338,27308,0
6827,1,1,0,ST,Other Scheme,Farmer,314053072146,180956,1
6588,0,0,0,OBC,Other Scheme,Worker,496888542197,189003,0
1365,0,0,1,ST,Post Matric Scholarship,Farmer,127568856368,50349,1
5247,0,1,0,General,Other Scheme,Pensioner,559744497820,130140,1
3395,1,0,1,OBC,Other Scheme,Pensioner,416914534816,82854,0
8970,1,1,0,VJNT,Other Scheme,Student,948680451606,88754,0
3292,0,1,1,General,Other Scheme,Pensioner,237884502886,13495,0
6933,1,1,0,OBC,Pre Matric Scholarship,Worker,636350130933,111224,0
559,1,1,1,ST,Pre Matric Scholarship,Farmer,484245150551,36747,0
6102,1,1,1,SC,Pre Matric Scholarship,Pensioner,674321310424,38759,1
1098,0,1,0,ST,Post Matric Scholarship,Farmer,180636487964,176363,1
7391,0,0,1,SC,Post Matric Scholarship,Pensioner,103181864583,49428,1
5296,1,0,0,SC,Pre Matric Scholarship,Farmer,680453860798,165695,0
676,0,0,1,VJNT,Post Matric Scholarship,Pensioner,790602395519,88779,1
3733,1,0,1,General,Pre Matric Scholarship,Farmer,333239307302,146361,0
1729,0,0,0,ST,Other Scheme,Pensioner,286067036206,79265,0
8620,1,1,0,ST,Post Matric Scholarship,Pensioner,392468877736,180972,0
6343,1,0,0,VJNT,Pre Matric Scholarship,Pensioner,151914442814,166727,1
3205,0,0,0,SC,Post Matric Scholarship,Student,308887807644,189960,1
1158,0,0,1,OBC,Pre Matric Scholarship,Student,131870872065,17934,1
4794,1,0,0,OBC,Post Matric Scholarship,Student,954510238386,32461,1
8051,0,0,0,ST,Pre Matric Scholarship,Student,999191982192,162025,0
5084,1,1,1,SC,Post Matric Scholarship,Pensioner,754457700915,49462,0
2065,1,1,1,SC,Other Scheme,Farmer,386593261787,32703,1
5079,0,1,0,OBC,Other Scheme,Farmer,233171526176,155194,1
4334,1,0,1,OBC,Pre Matric Scholarship,Pensioner,132864333658,68239,1
6205,0,0,1,General,Other Scheme,Student,796580251320,185832,1
3753,0,1,1,VJNT,Pre Matric Scholarship,Student,844933266813,358,0
8389,0,0,1,General,Pre Matric Scholarship,Pensioner,925365337836,55502,1
7831,0,1,0,VJNT,Other Scheme,Pensioner,918566950373,43648,1
5592,1,0,1,ST,Post Matric Scholarship,Student,770764896154,92191,0
3273,1,1,0,SC,Other Scheme,Farmer,645135624677,44893,0
7757,1,0,0,SC,Post Matric Scholarship,Farmer,743743006044,114194,0
3446,0,1,0,SC,Post Matric Scholarship,Worker,850714789507,147306,0
3970,0,1,0,OBC,Other Scheme,Pensioner,925712928730,144299,1
4054,0,1,1,ST,Post Matric Scholarship,Worker,760551853400,92364,1
3044,1,1,1,General,Post Matric Scholarship,Pensioner,770710111642,153549,1
9434,0,0,0,OBC,Pre Matric Scholarship,Farmer,802725165679,156184,1
1889,1,0,1,OBC,Other Scheme,Student,312870905913,22690,0
2686,1,1,0,ST,Post Matric Scholarship,Pensioner,861926300194,143777,1
7219,1,0,1,General,Pre Matric Scholarship,Pensioner,343756242873,58750,1
9788,0,0,0,General,Pre Matric Scholarship,Worker,634051761275,117047,1
6013,0,0,1,VJNT,Pre Matric Scholarship,Worker,277619249875,47133,1
3922,1,1,1,VJNT,Other Scheme,Student,311785101589,139186,0
1995,1,0,0,ST,Post Matric Scholarship,Pensioner,541618229347,108760,1
1608,1,0,1,VJNT,Pre Matric Scholarship,Student,788351752292,61880,0
4692,0,1,0,OBC,Post Matric Scholarship,Student,696427572719,28409,1
5505,0,0,1,SC,Other Scheme,Worker,757982368780,32126,0
9934,1,0,1,SC,Other Scheme,Farmer,519219643926,39962,0
8800,1,1,1,OBC,Other Scheme,Student,924190456959,104610,0
3215,0,1,0,General,Other Scheme,Worker,811410142103,132908,1
8698,1,0,0,OBC,Post Matric Scholarship,Farmer,299905529369,152423,0
784,0,0,0,General,Other Scheme,Pensioner,715001558059,199267,1
5408,0,1,0,VJNT,Pre Matric Scholarship,Farmer,815321483362,156479,1
6269,0,0,0,VJNT,Pre Matric Scholarship,Student,642490510141,106866,0
31,0,1,1,ST,Post Matric Scholarship,Worker,427260453321,109138,1
699,0,1,0,General,Other Scheme,Student,757222625808,46229,1
7503,0,1,1,OBC,Post Matric Scholarship,Pensioner,266904411524,124033,0
4536,0,1,0,OBC,Post Matric Scholarship,Student,689320114037,131909,0
5811,0,1,1,General,Pre Matric Scholarship,Farmer,238593947376,30185,1
324,1,0,0,OBC,Other Scheme,Student,836897907134,3943,0
9838,0,1,0,VJNT,Other Scheme,Student,416079134295,67368,1
516,1,1,1,ST,Other Scheme,Farmer,319926834486,6313,0
434,1,0,0,OBC,Pre Matric Scholarship,Worker,122779871837,143238,1
4442,0,0,1,SC,Post Matric Scholarship,Pensioner,787668610339,53810,0
9803,1,0,0,General,Pre Matric Scholarship,Pensioner,651802576429,199025,0
529,0,0,0,OBC,Other Scheme,Pensioner,654489516385,126260,0
318,0,0,1,General,Post Matric Scholarship,Farmer,322997236002,192493,0
4714,0,0,0,SC,Pre Matric Scholarship,Worker,948588154329,6442,1
97,0,0,1,OBC,Other Scheme,Student,337354541859,173631,1
99,0,1,0,VJNT,Post Matric Scholarship,Worker,538321785916,4983,1
9292,0,0,0,SC,Pre Matric Scholarship,Student,750667327232,27596,0
3356,1,0,1,OBC,Pre Matric Scholarship,Student,564262521259,79838,1
333,1,1,0,SC,Pre Matric Scholarship,Farmer,382828568533,170604,1
434,0,1,1,ST,Other Scheme,Pensioner,329930404293,129623,0
1433,0,1,0,SC,Pre Matric Scholarship,Worker,872887853993,23227,0
5892,1,1,1,General,Other Scheme,Farmer,783256298183,135964,0
4879,0,1,0,SC,Post Matric Scholarship,Student,340478642786,87480,0
4955,1,0,1,SC,Pre Matric Scholarship,Worker,439833674954,198420,1
2947,0,1,0,General,Pre Matric Scholarship,Pensioner,469060136993,6962,1
8020,1,0,0,VJNT,Post Matric Scholarship,Worker,169828107960,159953,0
4747,0,1,0,ST,Other Scheme,Student,954830364444,3190,1
5102,1,1,0,VJNT,Post Matric Scholarship,Worker,644097955929,65631,1
3124,0,0,0,SC,Post Matric Scholarship,Farmer,161986090006,131342,1
9147,1,0,0,ST,Other Scheme,Student,632647273320,124886,1
5007,1,0,1,OBC,Pre Matric Scholarship,Pensioner,574884814458,47214,0
8277,0,0,1,General,Other Scheme,Farmer,747831354659,173879,1
9282,0,1,1,SC,Post Matric Scholarship,Farmer,718028295019,39211,1
5876,0,0,0,VJNT,Post Matric Scholarship,Farmer,347523935910,192324,0
9980,1,1,0,ST,Other Scheme,Worker,389207773900,85277,1
370,1,0,1,VJNT,Post Matric Scholarship,Worker,827366882707,14493,0
8551,1,1,1,ST,Pre Matric Scholarship,Student,586533109135,166984,0
4863,0,1,0,SC,Post Matric Scholarship,Student,691020113214,192275,1
4214,0,1,1,General,Other Scheme,Pensioner,717507244892,168418,1
8456,1,0,0,General,Other Scheme,Student,360883161336,58836,1
8396,1,1,1,General,Pre Matric Scholarship,Farmer,250155909203,86197,0
5086,0,0,1,SC,Post Matric Scholarship,Farmer,223873264413,81883,1
9993,0,1,1,ST,Pre Matric Scholarship,Farmer,952348598707,147250,0
6444,0,1,1,General,Other Scheme,Farmer,991163318866,189494,1
7082,0,1,0,VJNT,Pre Matric Scholarship,Student,106536459559,172072,1
1585,1,0,1,ST,Pre Matric Scholarship,Student,428448896616,19809,0
